Date,Year,Month,Month_Name,YearMonth,Day,Week,Learner_ID,Cohort,Track,Name,Email,Duration_Minutes,Duration_Hours,Join_Time,Leave_Time,Attended
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_001,Cohort 1,AWS Cloud,Dorothy Choi,dorothy.choi73@email.com,136,2.27,09:02,11:18,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_002,Cohort 1,AWS Cloud,Emily Nguyen,emily.nguyen73@email.com,145,2.42,09:02,11:27,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_003,Cohort 1,AWS Cloud,Charles Liu,charles.liu94@email.com,169,2.82,09:14,12:03,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_004,Cohort 1,AWS Cloud,Elizabeth Wang,elizabeth.wang88@email.com,160,2.67,08:56,11:36,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_005,Cohort 1,AWS Cloud,Ming Martinez,ming.martinez11@email.com,147,2.45,09:00,11:27,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_006,Cohort 1,AWS Cloud,Nadia Ahmed,nadia.ahmed98@email.com,0,0.0,,,False
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_007,Cohort 1,AWS Cloud,Sofia Morris,sofia.morris28@email.com,171,2.85,09:05,11:56,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_008,Cohort 1,AWS Cloud,Zainab Liu,zainab.liu36@email.com,167,2.78,09:04,11:51,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_009,Cohort 1,AWS Cloud,Babatunde Chen,babatunde.chen31@email.com,137,2.28,09:05,11:22,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_010,Cohort 1,AWS Cloud,Kwame Verma,kwame.verma14@email.com,153,2.55,09:03,11:36,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_011,Cohort 1,AWS Cloud,Nadia Park,nadia.park15@email.com,141,2.35,09:13,11:34,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_012,Cohort 1,AWS Cloud,Ronald Gonzalez,ronald.gonzalez45@email.com,160,2.67,09:10,11:50,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_013,Cohort 1,AWS Cloud,Amy Johnson,amy.johnson94@email.com,0,0.0,,,False
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_014,Cohort 1,AWS Cloud,Jennifer King,jennifer.king44@email.com,0,0.0,,,False
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_015,Cohort 1,AWS Cloud,Elizabeth Miller,elizabeth.miller67@email.com,0,0.0,,,False
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_016,Cohort 1,AWS Cloud,Amy Green,amy.green60@email.com,0,0.0,,,False
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_017,Cohort 1,AWS Cloud,Emily Hall,emily.hall76@email.com,136,2.27,09:06,11:22,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_018,Cohort 1,AWS Cloud,Kenneth Chen,kenneth.chen35@email.com,158,2.63,08:56,11:34,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_019,Cohort 1,AWS Cloud,Timothy Nwosu,timothy.nwosu94@email.com,157,2.62,09:13,11:50,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_020,Cohort 1,AWS Cloud,Angela Robinson,angela.robinson64@email.com,169,2.82,09:11,12:00,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_001,Cohort 1,AWS Cloud,Dorothy Choi,dorothy.choi73@email.com,138,2.3,09:00,11:18,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_002,Cohort 1,AWS Cloud,Emily Nguyen,emily.nguyen73@email.com,0,0.0,,,False
